intelmpi_socket_shm_tcp.csv:# Calculated Latency = 0.25 usec; Calculated Bandwidth = 5130.847 MBytes/sec 
intelmpi_socket_shm_sockets.csv:# Calculated Latency = 0.25 usec; Calculated Bandwidth = 5124.88 MBytes/sec 
intelmpi_socket_shm_shm.csv:# Calculated Latency = 0.25 usec; Calculated Bandwidth = 5131.817 MBytes/sec 
intelmpi_socket_shm-ofi_tcp.csv:# Calculated Latency = 0.502 usec; Calculated Bandwidth = 5116.468 MBytes/sec 
intelmpi_socket_shm-ofi_shm.csv:# Calculated Latency = 0.282 usec; Calculated Bandwidth = 5115.214 MBytes/sec 
intelmpi_socket_shm-ofi_mlx.csv:# Calculated Latency = 0.294 usec; Calculated Bandwidth = 5119.702 MBytes/sec 
intelmpi_socket_shm-ofi_sockets.csv:# Calculated Latency = 0.32 usec; Calculated Bandwidth = 5128.278 MBytes/sec 
intelmpi_socket_shm_mlx.csv:# Calculated Latency = 0.25 usec; Calculated Bandwidth = 5127.197 MBytes/sec 
intelmpi_socket_ofi_tcp.csv:# Calculated Latency = 5.068 usec; Calculated Bandwidth = 5185.341 MBytes/sec 
intelmpi_socket_ofi_sockets.csv:# Calculated Latency = 6.446 usec; Calculated Bandwidth = 5162.994 MBytes/sec 
intelmpi_socket_ofi_shm.csv:# Calculated Latency = 1.098 usec; Calculated Bandwidth = 4057.282 MBytes/sec 
intelmpi_socket_ofi_mlx.csv:# Calculated Latency = 0.294 usec; Calculated Bandwidth = 6099.36 MBytes/sec 
intelmpi_node_shm-ofi_sockets.csv:# Calculated Latency = 10.12 usec; Calculated Bandwidth = 2879.727 MBytes/sec 
intelmpi_node_shm-ofi_mlx.csv:# Calculated Latency = 1.284 usec; Calculated Bandwidth = 12197.031 MBytes/sec 
intelmpi_node_shm-ofi_tcp.csv:# Calculated Latency = 8.092 usec; Calculated Bandwidth = 2949.102 MBytes/sec 
intelmpi_node_ofi_tcp.csv:# Calculated Latency = 9.714 usec; Calculated Bandwidth = 2482.698 MBytes/sec 
intelmpi_contiguous_shm_tcp.csv:# Calculated Latency = 0.44 usec; Calculated Bandwidth = 4259.139 MBytes/sec 
intelmpi_contiguous_shm_sockets.csv:# Calculated Latency = 0.446 usec; Calculated Bandwidth = 4265.029 MBytes/sec 
intelmpi_node_ofi_mlx.csv:# Calculated Latency = 1.274 usec; Calculated Bandwidth = 12218.623 MBytes/sec 
intelmpi_node_ofi_sockets.csv:# Calculated Latency = 9.91 usec; Calculated Bandwidth = 2989.995 MBytes/sec 
intelmpi_contiguous_shm_shm.csv:# Calculated Latency = 0.444 usec; Calculated Bandwidth = 4260.803 MBytes/sec 
intelmpi_contiguous_shm-ofi_sockets.csv:# Calculated Latency = 0.502 usec; Calculated Bandwidth = 4252.208 MBytes/sec 
intelmpi_contiguous_shm-ofi_tcp.csv:# Calculated Latency = 0.666 usec; Calculated Bandwidth = 4259.19 MBytes/sec 
intelmpi_contiguous_shm-ofi_shm.csv:# Calculated Latency = 0.462 usec; Calculated Bandwidth = 4292.852 MBytes/sec 
intelmpi_contiguous_ofi_tcp.csv:# Calculated Latency = 8.51 usec; Calculated Bandwidth = 3083.286 MBytes/sec 
intelmpi_contiguous_ofi_sockets.csv:# Calculated Latency = 9.81 usec; Calculated Bandwidth = 3042.223 MBytes/sec 
intelmpi_contiguous_shm_mlx.csv:# Calculated Latency = 0.44 usec; Calculated Bandwidth = 4250.729 MBytes/sec 
intelmpi_contiguous_shm-ofi_mlx.csv:# Calculated Latency = 0.48 usec; Calculated Bandwidth = 4265.314 MBytes/sec 
intelmpi_contiguous_ofi_shm.csv:# Calculated Latency = 1.436 usec; Calculated Bandwidth = 3193.507 MBytes/sec 
intelmpi_contiguous_ofi_mlx.csv:# Calculated Latency = 0.492 usec; Calculated Bandwidth = 4934.022 MBytes/sec 
