intelmpi_socket_shm_tcp.csv:# Calculated Latency = 0.256 usec; Calculated Bandwidth = 10973.759 MBytes/sec 
intelmpi_socket_shm_sockets.csv:# Calculated Latency = 0.252 usec; Calculated Bandwidth = 10808.918 MBytes/sec 
intelmpi_socket_shm_shm.csv:# Calculated Latency = 0.254 usec; Calculated Bandwidth = 10976.739 MBytes/sec 
intelmpi_socket_shm-ofi_tcp.csv:# Calculated Latency = 0.498 usec; Calculated Bandwidth = 10794.462 MBytes/sec 
intelmpi_socket_shm-ofi_shm.csv:# Calculated Latency = 0.28 usec; Calculated Bandwidth = 10585.258 MBytes/sec 
intelmpi_socket_shm-ofi_sockets.csv:# Calculated Latency = 0.326 usec; Calculated Bandwidth = 10848.204 MBytes/sec 
intelmpi_socket_shm-ofi_mlx.csv:# Calculated Latency = 0.288 usec; Calculated Bandwidth = 10687.02 MBytes/sec 
intelmpi_socket_shm_mlx.csv:# Calculated Latency = 0.258 usec; Calculated Bandwidth = 11019.893 MBytes/sec 
intelmpi_socket_ofi_sockets.csv:# Calculated Latency = 6.474 usec; Calculated Bandwidth = 5779.84 MBytes/sec 
intelmpi_socket_ofi_tcp.csv:# Calculated Latency = 5.062 usec; Calculated Bandwidth = 6729.736 MBytes/sec 
intelmpi_socket_ofi_shm.csv:# Calculated Latency = 1.216 usec; Calculated Bandwidth = 8315.604 MBytes/sec 
intelmpi_socket_ofi_mlx.csv:# Calculated Latency = 0.294 usec; Calculated Bandwidth = 13124.325 MBytes/sec 
intelmpi_node_shm-ofi_tcp.csv:# Calculated Latency = 8.376 usec; Calculated Bandwidth = 2737.183 MBytes/sec 
intelmpi_node_shm-ofi_mlx.csv:# Calculated Latency = 1.272 usec; Calculated Bandwidth = 11826.065 MBytes/sec 
intelmpi_node_shm-ofi_sockets.csv:# Calculated Latency = 10.288 usec; Calculated Bandwidth = 2201.037 MBytes/sec 
intelmpi_node_ofi_tcp.csv:# Calculated Latency = 8.488 usec; Calculated Bandwidth = 2853.57 MBytes/sec 
intelmpi_node_ofi_sockets.csv:# Calculated Latency = 9.874 usec; Calculated Bandwidth = 2725.431 MBytes/sec 
intelmpi_node_ofi_mlx.csv:# Calculated Latency = 1.28 usec; Calculated Bandwidth = 11792.357 MBytes/sec 
intelmpi_contiguous_shm_tcp.csv:# Calculated Latency = 0.44 usec; Calculated Bandwidth = 8221.715 MBytes/sec 
intelmpi_contiguous_shm-ofi_tcp.csv:# Calculated Latency = 0.65 usec; Calculated Bandwidth = 8206.173 MBytes/sec 
intelmpi_contiguous_shm_shm.csv:# Calculated Latency = 0.444 usec; Calculated Bandwidth = 8214.473 MBytes/sec 
intelmpi_contiguous_shm_sockets.csv:# Calculated Latency = 0.44 usec; Calculated Bandwidth = 8186.119 MBytes/sec 
intelmpi_contiguous_shm-ofi_sockets.csv:# Calculated Latency = 0.5 usec; Calculated Bandwidth = 8206.137 MBytes/sec 
intelmpi_contiguous_shm-ofi_shm.csv:# Calculated Latency = 0.468 usec; Calculated Bandwidth = 8235.705 MBytes/sec 
intelmpi_contiguous_shm-ofi_mlx.csv:# Calculated Latency = 0.478 usec; Calculated Bandwidth = 8218.565 MBytes/sec 
intelmpi_contiguous_shm_mlx.csv:# Calculated Latency = 0.444 usec; Calculated Bandwidth = 8229.531 MBytes/sec 
intelmpi_contiguous_ofi_tcp.csv:# Calculated Latency = 8.944 usec; Calculated Bandwidth = 3234.755 MBytes/sec 
intelmpi_contiguous_ofi_sockets.csv:# Calculated Latency = 9.624 usec; Calculated Bandwidth = 3133.3 MBytes/sec 
intelmpi_contiguous_ofi_shm.csv:# Calculated Latency = 1.434 usec; Calculated Bandwidth = 8581.824 MBytes/sec 
intelmpi_contiguous_ofi_mlx.csv:# Calculated Latency = 0.49 usec; Calculated Bandwidth = 12295.864 MBytes/sec 
