# Threadlevel provided:        3 out of        0        1        2        3
  spat_dim , proc_dim, PBC ? 
           1 -Dim Input         1200           0 T
           2 -Dim Input         1200           0 T
           3 -Dim Input         1200           0 T
#   0 Process grid   2   2   2
           0           3           2
           4           3           2
           5           3           2
           6           3           2
           7           3           2
           1           3           2
           2           3           2
           3           3           2
#   0  Allocated 2 arrays with a total of  3490.68      Mbytes 
# StartResidual    0.00000000000    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95394585800        1.95366250000        1.88520858300        1.89143523500       Residual    12019999.9905      MLUPs    884.364319986    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95165536400        1.95165277400        1.88551221700        1.89187988600       Residual    1999999.99999      MLUPs    885.402224119    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95141648100        1.95141288600        1.88510112300        1.89160867200       Residual    425925.925796      MLUPs    885.510610792    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95168638100        1.95168309500        1.88554091500        1.89192127300       Residual    126543.209849      MLUPs    885.388152944    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95130679300        1.95130474200        1.88503900900        1.89159518300       Residual    51826.1316872      MLUPs    885.560387633    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95158913600        1.95158647600        1.88571450600        1.89184520800       Residual    26702.1350985      MLUPs    885.432270617    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95127479500        1.95127344400        1.88516947900        1.89152793000       Residual    15893.9988845      MLUPs    885.574909504    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95180135500        1.95179431700        1.88561080700        1.89201800500       Residual    10378.2429902      MLUPs    885.335997730    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95160332000        1.95159933300        1.88521420900        1.89184845700       Residual    7222.26330355      MLUPs    885.425835410    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.95189524600        1.95189284800        1.88557134200        1.89217622500       Residual    5266.18987010      MLUPs    885.293410874    
