Size 1,Size 2,Size 3,ndims,Dim 1,Dim 2,Dim 3,   time (sec)
2400,100,100,3,4,3,2,0.998142
2400,100,100,3,4,2,3,0.998417
2400,100,100,3,3,4,2,0.999667
2400,100,100,3,3,2,4,0.999105
2400,100,100,3,2,4,3,0.999587
2400,100,100,3,2,3,4,0.999994
2400,100,100,3,6,2,2,0.997727
2400,100,100,3,2,6,2,0.997283
2400,100,100,3,2,2,6,0.999871
2400,100,100,3,6,4,1,0.998689
2400,100,100,3,6,1,4,0.998644
2400,100,100,3,4,6,1,0.999514
2400,100,100,3,4,1,6,1.00021
2400,100,100,3,1,6,4,0.995704
2400,100,100,3,1,4,6,1.00176
2400,100,100,3,8,3,1,0.998437
2400,100,100,3,8,1,3,1.18617
2400,100,100,3,3,8,1,1.00068
2400,100,100,3,3,1,8,0.998661
2400,100,100,3,1,8,3,0.997563
2400,100,100,3,1,3,8,0.998533
2400,100,100,3,12,2,1,0.998011
2400,100,100,3,12,1,2,1.0005
2400,100,100,3,2,12,1,0.998944
2400,100,100,3,2,1,12,0.998121
2400,100,100,3,1,12,2,0.999245
2400,100,100,3,1,2,12,0.997821
2400,100,100,3,24,1,1,0.99848
2400,100,100,3,1,24,1,0.998311
2400,100,100,3,1,1,24,0.998703
1200,200,100,3,4,3,2,1.00036
1200,200,100,3,4,2,3,1.0008
1200,200,100,3,3,4,2,0.998738
1200,200,100,3,3,2,4,0.998747
1200,200,100,3,2,4,3,0.997868
1200,200,100,3,2,3,4,0.998169
1200,200,100,3,6,2,2,0.998376
1200,200,100,3,2,6,2,0.998306
1200,200,100,3,2,2,6,0.996158
1200,200,100,3,6,4,1,0.999319
1200,200,100,3,6,1,4,0.99719
1200,200,100,3,4,6,1,0.998541
1200,200,100,3,4,1,6,0.9982
1200,200,100,3,1,6,4,0.997766
1200,200,100,3,1,4,6,0.998557
1200,200,100,3,8,3,1,1.00049
1200,200,100,3,8,1,3,0.997377
1200,200,100,3,3,8,1,0.999155
1200,200,100,3,3,1,8,0.997493
1200,200,100,3,1,8,3,0.997779
1200,200,100,3,1,3,8,1.00235
1200,200,100,3,12,2,1,0.997825
1200,200,100,3,12,1,2,0.998311
1200,200,100,3,2,12,1,1.00016
1200,200,100,3,2,1,12,0.998337
1200,200,100,3,1,12,2,0.997837
1200,200,100,3,1,2,12,0.999799
1200,200,100,3,24,1,1,0.999255
1200,200,100,3,1,24,1,0.999055
1200,200,100,3,1,1,24,0.997287
800,300,100,3,4,3,2,0.998415
800,300,100,3,4,2,3,0.997067
800,300,100,3,3,4,2,0.998902
800,300,100,3,3,2,4,0.998928
800,300,100,3,2,4,3,0.99911
800,300,100,3,2,3,4,0.999309
800,300,100,3,6,2,2,0.998339
800,300,100,3,2,6,2,0.999641
800,300,100,3,2,2,6,0.999855
800,300,100,3,6,4,1,1.00263
800,300,100,3,6,1,4,0.998012
800,300,100,3,4,6,1,0.997449
800,300,100,3,4,1,6,0.998195
800,300,100,3,1,6,4,0.999732
800,300,100,3,1,4,6,1.00186
800,300,100,3,8,3,1,1.00093
800,300,100,3,8,1,3,1.00018
800,300,100,3,3,8,1,0.999403
800,300,100,3,3,1,8,0.998786
800,300,100,3,1,8,3,1.02874
800,300,100,3,1,3,8,1.00092
800,300,100,3,12,2,1,1.00161
800,300,100,3,12,1,2,0.999643
800,300,100,3,2,12,1,0.997459
800,300,100,3,2,1,12,0.999492
800,300,100,3,1,12,2,0.99969
800,300,100,3,1,2,12,0.99698
800,300,100,3,24,1,1,0.998872
800,300,100,3,1,24,1,1.00084
800,300,100,3,1,1,24,1.00088
2400,100,100,2,6,4,0,0.999243
2400,100,100,2,4,6,0,0.99779
2400,100,100,2,8,3,0,0.999112
2400,100,100,2,3,8,0,0.99651
2400,100,100,2,12,2,0,0.997882
2400,100,100,2,2,12,0,1.02922
2400,100,100,2,24,1,0,0.996901
2400,100,100,2,1,24,0,0.997673
1200,200,100,2,6,4,0,0.998423
1200,200,100,2,4,6,0,0.997931
1200,200,100,2,8,3,0,1.00014
1200,200,100,2,3,8,0,0.996972
1200,200,100,2,12,2,0,0.998345
1200,200,100,2,2,12,0,1.02925
1200,200,100,2,24,1,0,0.998099
1200,200,100,2,1,24,0,0.998671
800,300,100,2,6,4,0,0.997611
800,300,100,2,4,6,0,0.99947
800,300,100,2,8,3,0,1.00018
800,300,100,2,3,8,0,0.998677
800,300,100,2,12,2,0,1.00151
800,300,100,2,2,12,0,1.00117
800,300,100,2,24,1,0,0.9972
800,300,100,2,1,24,0,0.999809
2400,100,100,1,24,0,0,0.997556
1200,200,100,1,24,0,0,0.99812
800,300,100,1,24,0,0,0.998113
