8	           13.651809	          13.408072 	         13.841893
8	           14.142715	          14.071020 	         14.200318
8	           13.972679	          13.845722 	         14.104862
8	           13.726234	          13.594923 	         13.830419
8	           13.720392	          13.610871 	         13.872474
8	           14.121905	          13.921406 	         14.307870
8	           13.696827	          13.514929 	         13.965949
8	           13.741258	          13.647988 	         13.894174
8	           13.886339	          13.707213 	         14.043831
8	           13.597244	          13.370409 	         13.767446
