22.086470, 78.237945, 27786.50, jacobi-core-1-gpu.dat
5.593955, 308.927885, 6969.75, jacobi-core-4-gpu.dat
2.674876, 533.895694, 3490.68, jacobi-core-8-gpu.dat
1.856800, 769.121133, 2330.98, jacobi-core-12-gpu.dat
22.084262, 78.245768, 27786.50, jacobi-socket-1-gpu.dat
5.557086, 310.954333, 6969.75, jacobi-socket-4-gpu.dat
2.572758, 555.085123, 3490.68, jacobi-socket-8-gpu.dat
1.753637, 814.378988, 2330.98, jacobi-socket-12-gpu.dat
1.710497, 834.903828, 2330.98, jacobi-node-12-gpu.dat
0.883237, 1616.895465, 1169.36, jacobi-node-24-gpu.dat
0.610702, 2338.520545, 780.87, jacobi-node-36-gpu.dat
0.580038, 2462.398439, 586.62, jacobi-node-48-gpu.dat
