15.327585, 112.737930, 27786.50, jacobi-core-1-thin.dat
3.850967, 448.718524, 6969.75, jacobi-core-4-thin.dat
1.790488, 797.603451, 3490.68, jacobi-core-8-thin.dat
1.194191, 1195.871740, 2330.98, jacobi-core-12-thin.dat
15.349877, 112.574257, 27786.50, jacobi-socket-1-thin.dat
3.846956, 449.186354, 6969.75, jacobi-socket-4-thin.dat
1.774380, 804.844375, 3490.68, jacobi-socket-8-thin.dat
1.191755, 1198.316758, 2330.98, jacobi-socket-12-thin.dat
1.191317, 1198.756532, 2330.98, jacobi-node-12-thin.dat
0.596357, 2394.708359, 1169.36, jacobi-node-24-thin.dat
0.409893, 3484.522031, 780.87, jacobi-node-36-thin.dat
0.312116, 4583.697972, 586.62, jacobi-node-48-thin.dat
