# Threadlevel provided:        3 out of        0        1        2        3
  spat_dim , proc_dim, PBC ? 
           1 -Dim Input         1200           0 T
           2 -Dim Input         1200           0 T
           3 -Dim Input         1200           0 T
#   0 Process grid   4   4   3
          16           3           2
          18           3           2
          20           3           2
          22           3           2
          24           3           2
          26           3           2
          28           3           2
          30           3           2
          32           3           2
          34           3           2
          36           3           2
          38           3           2
          40           3           2
          42           3           2
          44           3           2
          46           3           2
           0           3           2
#   0  Allocated 2 arrays with a total of  586.624      Mbytes 
           2           3           2
           4           3           2
           6           3           2
           8           3           2
          10           3           2
          12           3           2
          14           3           2
           1           3           2
           3           3           2
           5           3           2
           7           3           2
           9           3           2
          11           3           2
          13           3           2
          15           3           2
          17           3           2
          19           3           2
          21           3           2
          23           3           2
          25           3           2
          27           3           2
          29           3           2
          31           3           2
          33           3           2
          35           3           2
          37           3           2
          39           3           2
          41           3           2
          43           3           2
          45           3           2
          47           3           2
# StartResidual    0.00000000000    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.659907637000       0.659625890000       0.468614138000       0.627986695000       Residual    12019999.9904      MLUPs    2618.54826814    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.634806004000       0.634790148000       0.471380231000       0.610457349000       Residual    2000000.00000      MLUPs    2722.09145646    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.636305884000       0.636292364000       0.468316221000       0.612480505000       Residual    425925.925798      MLUPs    2715.67502902    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.636221929000       0.636211303000       0.468775548000       0.611923013000       Residual    126543.209841      MLUPs    2716.03338589    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.637815994000       0.637809098000       0.469748175000       0.613934092000       Residual    51826.1316875      MLUPs    2709.24532507    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.636152766000       0.636139878000       0.470142017000       0.611694591000       Residual    26702.1350991      MLUPs    2716.32867505    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.635691569000       0.635684161000       0.469604975000       0.611481559000       Residual    15893.9988846      MLUPs    2718.29938333    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.634777971000       0.634755048000       0.470205798000       0.610375763000       Residual    10378.2429903      MLUPs    2722.21166919    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.634327928000       0.634315931000       0.470627745000       0.610112393000       Residual    7222.26330344      MLUPs    2724.14302402    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.634406273000       0.634400498000       0.471405964000       0.610319964000       Residual    5266.18987019      MLUPs    2723.80661028    
